Nome da Vaga,Nome da Empresa,Local da Vaga,Foi postada a:,Link da vaga:
Analista Junior de Otimização Logística - São Paulo/SP,Shopee,"São Paulo, SP",Há 4 dias,https://br.linkedin.com/jobs/view/analista-junior-de-otimiza%C3%A7%C3%A3o-log%C3%ADstica-s%C3%A3o-paulo-sp-at-shopee-4309149376?position=13&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=PgEynZ3BmHt9jnnTxFE0FA%3D%3D
Analista de Relatórios de Power BI,vezzilapolla.legal,"São Paulo, SP",Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-relat%C3%B3rios-de-power-bi-at-vezzilapolla-legal-4324735884?position=14&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=zzyUXnpbY25Pf1UYLumlhA%3D%3D
Analista BI Júnior,SOUTH SYSTEM,Brasil,Há 6 dias,https://br.linkedin.com/jobs/view/analista-bi-j%C3%BAnior-at-south-system-4331320463?position=15&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=ddQFKKQMPl2XP4IyEJBJZQ%3D%3D
Analista de Business Intelligence Sênior | Planejamento,C6 Bank,"São Paulo, SP",Há 6 dias,https://br.linkedin.com/jobs/view/analista-de-business-intelligence-s%C3%AAnior-planejamento-at-c6-bank-4307285025?position=16&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=j6DMatOEGGEdfNNnbAW3PQ%3D%3D
Business Intelligence I,Bradesco,"Osasco, SP",Há 1 hora,https://br.linkedin.com/jobs/view/business-intelligence-i-at-banco-bradesco-4333139844?position=17&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=tCxZBg9%2FK4RnCiWyBIqZmQ%3D%3D
Data Scientist JR,Bradesco,"Osasco, SP",Há 6 dias,https://br.linkedin.com/jobs/view/data-scientist-jr-at-banco-bradesco-4331344146?position=18&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=nSftwu2TG%2B25NgWg5jmk4Q%3D%3D
Business Intelligence II,Bradesco,"Osasco, SP",Há 1 dia,https://br.linkedin.com/jobs/view/business-intelligence-ii-at-banco-bradesco-4332908903?position=19&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=cNCpJPLs%2FAJimDVB7xu2Jw%3D%3D
Estagiário de Análise de Dados e BI,Monaco Diesel,"Ananindeua, PA",Há 6 dias,https://br.linkedin.com/jobs/view/estagi%C3%A1rio-de-an%C3%A1lise-de-dados-e-bi-at-monaco-diesel-4323928926?position=20&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=hTr3zm%2Fc6qCTpxIk73%2Fosg%3D%3D
Analista de Power BI com Foco em Negócios,"VMS - Veríssimo, Moreira & Simas Advogados","Belo Horizonte, MG",Há 5 dias,https://br.linkedin.com/jobs/view/analista-de-power-bi-com-foco-em-neg%C3%B3cios-at-vms-ver%C3%ADssimo-moreira-simas-advogados-4331364643?position=21&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=lR%2Bm25MfzFggvWm25%2BuynA%3D%3D
Analista Administrativo Júnior - Escritório Regional RJ,Assaí Atacadista,"Rio de Janeiro, RJ",Há 15 horas,https://br.linkedin.com/jobs/view/analista-administrativo-j%C3%BAnior-escrit%C3%B3rio-regional-rj-at-assa%C3%AD-atacadista-4331403921?position=22&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=247wjf4TiCzv1Svf9yxyxw%3D%3D
Analista de Projetos de Operações,Libbs Farmacêutica,Brasil,Há 5 dias,https://br.linkedin.com/jobs/view/analista-de-projetos-de-opera%C3%A7%C3%B5es-at-libbs-farmac%C3%AAutica-ltda-4317295961?position=23&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=UR877dpygPoYdvVh3loddQ%3D%3D
Analista de BI,Yapp,Belo Horizonte e Região,Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-bi-at-yapp-4332818518?position=24&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=swfIZpBxS1KSt5PJ7bqkyA%3D%3D
Analista Júnior de Planejamento Estratégico e Dados | Belo Horizonte - MG,MRV&CO,"Belo Horizonte, MG",Há 6 dias,https://br.linkedin.com/jobs/view/analista-j%C3%BAnior-de-planejamento-estrat%C3%A9gico-e-dados-belo-horizonte-mg-at-mrv-co-4317223966?position=25&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=TK%2BxujURMrfzWJw%2BWqiLjw%3D%3D
Estágio em Análise de Dados,abler Vagas,"Aracaju, SE",Há 5 dias,https://br.linkedin.com/jobs/view/est%C3%A1gio-em-an%C3%A1lise-de-dados-at-abler-vagas-4331606718?position=26&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=4z9MaPkYBiZ0KgBfMygZbg%3D%3D
Business Intelligence II,Bradesco,"Osasco, SP",Há 2 dias,https://br.linkedin.com/jobs/view/business-intelligence-ii-at-banco-bradesco-4332477878?position=27&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=04A7QQdvdiCKLeGZXphoKw%3D%3D
Analista de Gestão Estratégica - SP,ATIVA,São Paulo e Região,Há 2 dias,https://br.linkedin.com/jobs/view/analista-de-gest%C3%A3o-estrat%C3%A9gica-sp-at-ativa-ts-4318438004?position=28&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=k275oM8Z7fg0QfcYoXfBZg%3D%3D
Anl Administrativo Jr,Syngenta,"Formosa, GO",Há 1 dia,https://br.linkedin.com/jobs/view/anl-administrativo-jr-at-syngenta-4333060366?position=29&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=S1anlgg33Y9mlvyqjRfWcQ%3D%3D
Banco de Talentos - Business Analytics,XP Inc.,"São Paulo, SP",Há 6 dias,https://br.linkedin.com/jobs/view/banco-de-talentos-business-analytics-at-xp-inc-4198275911?position=30&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=ltWBEA6FxWrwmLU6GBpXyQ%3D%3D
Estagiário em Power Bi - Marketing,CentralAr.com,"Araçatuba, SP",Há 2 dias,https://br.linkedin.com/jobs/view/estagi%C3%A1rio-em-power-bi-marketing-at-centralar-com-4318449691?position=31&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=qse1oVvaXRZ8PJnAiUPXrQ%3D%3D
ANALISTA DE ANALYTICS I (OPORTUNIDADE 100% HOME OFFICE),Orizon,Brasil,Há 5 dias,https://br.linkedin.com/jobs/view/analista-de-analytics-i-oportunidade-100%25-home-office-at-orizon-4318631240?position=32&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=pIN9lThgqaWcWDqgX3XFvQ%3D%3D
Analista de BI,abler Vagas,"Fortaleza, CE",Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-bi-at-abler-vagas-4333161159?position=33&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=y9OCm%2BqnvtZpJBojYRcdSw%3D%3D
Analista Júnior de Marketing Operations,Shopee,"São Paulo, SP",Há 11 horas,https://br.linkedin.com/jobs/view/analista-j%C3%BAnior-de-marketing-operations-at-shopee-4301934463?position=34&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=IIeMVxzLFlxxAFHnC4pbKQ%3D%3D
Analista de Dados Pleno - Estratégia Jurídica,Safra,"São Paulo, SP",Há 6 dias,https://br.linkedin.com/jobs/view/analista-de-dados-pleno-estrat%C3%A9gia-jur%C3%ADdica-at-safra-4317232140?position=35&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=OaVFAtgNbf%2B6v8tf0stzBA%3D%3D
Analista Inteligência de Dados Jr.,Record,"São Paulo, SP",Há 3 horas,https://br.linkedin.com/jobs/view/analista-intelig%C3%AAncia-de-dados-jr-at-record-4331489465?position=36&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=D%2BKG0A6y216Ee3RhFLUi7Q%3D%3D
Analista de BI Júnior (Financeiro),Rede Américas,"São Paulo, SP",Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-bi-j%C3%BAnior-financeiro-at-rede-am%C3%A9ricas-4319389005?position=37&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=VDUJNmOndmWm9QxzAp9wJQ%3D%3D
Analista de BI,Grupo Multilixo,"São Paulo, SP",Há 2 dias,https://br.linkedin.com/jobs/view/analista-de-bi-at-grupo-multilixo-4332395235?position=38&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=B4%2FxE9NUVWQ3AFDzh%2F1hBg%3D%3D
Analista Financeiro Sr.,Hcor,"São Paulo, SP",Há 3 dias,https://br.linkedin.com/jobs/view/analista-financeiro-sr-at-hcor-4332026815?position=39&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=7rGEvED74wfzRxPCngunVA%3D%3D
Junior Data Analyst - Business Intelligence (remote),Brunel,Brasil,Há 3 dias,https://br.linkedin.com/jobs/view/junior-data-analyst-business-intelligence-remote-at-brunel-4319224527?position=40&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=E5uMAHv6RGMix9ZqVQTtDQ%3D%3D
ANALISTA DE PLANEJAMENTO JUNIOR,MRV&CO,"Belo Horizonte, MG",Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-planejamento-junior-at-mrv-co-4324744715?position=41&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=Z5kbc%2Fl3AIrLfRk9RwXAAQ%3D%3D
Especialista em Jornada do Aluno,Centro Universitário FMU | FIAM-FAAM,"São Paulo, SP",Há 3 dias,https://br.linkedin.com/jobs/view/especialista-em-jornada-do-aluno-at-centro-universit%C3%A1rio-fmu-fiam-faam-4318414140?position=42&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=X24cdr5DliuQxRKg%2FxL6dA%3D%3D
BI ANALYST SR,ScanSource Brasil,Brasil,Há 3 horas,https://br.linkedin.com/jobs/view/bi-analyst-sr-at-scansource-brasil-4331479607?position=43&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=O3N00oWQWySk%2FIeadgBK9g%3D%3D
BI - Jovem Aprendiz,Brasal,"Goiânia, GO",Há 1 dia,https://br.linkedin.com/jobs/view/bi-jovem-aprendiz-at-brasal-4324742736?position=44&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=kTQXvTXxI5siWVD0%2B6oaZQ%3D%3D
Estagiário(a) de Análise de Dados,NIP do Brasil,"Rio de Janeiro, RJ",Há 6 dias,https://br.linkedin.com/jobs/view/estagi%C3%A1rio-a-de-an%C3%A1lise-de-dados-at-nip-do-brasil-4331193293?position=45&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=DVLmpcTm0YnIqEg034aBIA%3D%3D
Analista BI (Suporte e Implantação),TOTVS juriTIs,São Paulo e Região,Há 4 horas,https://br.linkedin.com/jobs/view/analista-bi-suporte-e-implanta%C3%A7%C3%A3o-at-totvs-juritis-4333148355?position=46&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=wpFctxJ2cQOlPpAgPsbaig%3D%3D
ANALISTA DE BI,G4F,"Mato Grosso, Brasil",Há 6 dias,https://br.linkedin.com/jobs/view/analista-de-bi-at-g4f-4318398677?position=47&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=eWXLgC14K7jLKO0xXuk10Q%3D%3D
Analista Administrativo Júnior (Contábil e Melhorias),Ambev,"Jaguariúna, SP",Há 3 dias,https://br.linkedin.com/jobs/view/analista-administrativo-j%C3%BAnior-cont%C3%A1bil-e-melhorias-at-ambev-4319265433?position=48&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=tj3jELJ6GGQYOn8h6dKboA%3D%3D
Analista de BI Pleno,Fundação Cásper Líbero,"São Paulo, SP",Há 2 dias,https://br.linkedin.com/jobs/view/analista-de-bi-pleno-at-funda%C3%A7%C3%A3o-c%C3%A1sper-l%C3%ADbero-4318920671?position=49&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=re2d4t2I5c0whyfPfHmiAQ%3D%3D
BUSINESS ANALYTICS PLENO,ClearSale,Brasil,Há 3 horas,https://br.linkedin.com/jobs/view/business-analytics-pleno-at-clearsale-4331480594?position=50&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=f7UslWR5yeRPW%2B2NStlEvw%3D%3D
Analista de Operações JR,Bradesco,"Osasco, SP",Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-opera%C3%A7%C3%B5es-jr-at-banco-bradesco-4332739715?position=51&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=oSTTKpo3LlOtJ5%2FEjhSMCw%3D%3D
Estamos contratando Analista de Dados (Manutenção)⚓,Salinor- Salinas do Nordeste,"Mossoró, RN",Há 3 dias,https://br.linkedin.com/jobs/view/estamos-contratando-analista-de-dados-manuten%C3%A7%C3%A3o-%E2%9A%93-at-salinor-salinas-do-nordeste-4318046471?position=52&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=62BJFgdTi0LWkt89f85etw%3D%3D
Analista de Business Intelligence Júnior - PR,BCMED,"Foz do Iguaçu, PR",Há 2 dias,https://br.linkedin.com/jobs/view/analista-de-business-intelligence-j%C3%BAnior-pr-at-bcmed-4318431680?position=53&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=0WwCvOWxl12xEwqaVWfDzw%3D%3D
Estagiário de Business Intelligence (BI),Ferrero,"São Paulo, SP",Há 1 dia,https://br.linkedin.com/jobs/view/estagi%C3%A1rio-de-business-intelligence-bi-at-ferrero-4333000495?position=54&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=nOcyg0a7efSQsZRATl1TMA%3D%3D
Analista de BI,Irmandade da Santa Casa de Misericórdia de Curitiba,"Curitiba, PR",Há 2 dias,https://br.linkedin.com/jobs/view/analista-de-bi-at-irmandade-da-santa-casa-de-miseric%C3%B3rdia-de-curitiba-4332723305?position=55&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=Kn9Yged7ApmeTnsAPFoV1w%3D%3D
Analista de Dados Jr,FCC,"Campo Bom, RS",Há 2 dias,https://br.linkedin.com/jobs/view/analista-de-dados-jr-at-fcc-4318442746?position=56&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=YZhRSyLodbzjOX00kJrnRQ%3D%3D
Análise De Dados - Quadro De Vagas,Buscar Vagas - Empregos BR,"São Paulo, SP",Há 1 dia,https://br.linkedin.com/jobs/view/an%C3%A1lise-de-dados-quadro-de-vagas-at-buscar-vagas-empregos-br-4318976688?position=57&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=mjrjbeVwhulviYdVOG%2FF0w%3D%3D
Business Intelligence Manager,Bradesco,"Osasco, SP",Há 6 dias,https://br.linkedin.com/jobs/view/business-intelligence-manager-at-banco-bradesco-4331347151?position=58&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=jHNWVD7ShdYQkaw0nMU2Dg%3D%3D
Analista Administrativo Jr.,Raízen,"Piracicaba, SP",Há 9 horas,https://br.linkedin.com/jobs/view/analista-administrativo-jr-at-ra%C3%ADzen-4331451889?position=59&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=44jpd1syZpLeRJnL%2BpZdLA%3D%3D
Especialista em Planejamento Comercial,Sem Parar,"São Paulo, SP",Há 3 dias,https://br.linkedin.com/jobs/view/especialista-em-planejamento-comercial-at-sem-parar-4318413190?position=60&pageNum=0&refId=G2mIOekowY7uvQAxK8o%2Few%3D%3D&trackingId=uo48L80lbZDMF%2BrVI67PUQ%3D%3D
Estágio em Análise de Dados,abler Vagas,"Aracaju, SE",Há 5 dias,https://br.linkedin.com/jobs/view/est%C3%A1gio-em-an%C3%A1lise-de-dados-at-abler-vagas-4331606718?position=1&pageNum=2&refId=D88I47w4Z9ea29G2yN3uLA%3D%3D&trackingId=cfyzNFaukLz40RBksM3Veg%3D%3D
Business Intelligence II,Bradesco,"Osasco, SP",Há 2 dias,https://br.linkedin.com/jobs/view/business-intelligence-ii-at-banco-bradesco-4332477878?position=2&pageNum=2&refId=D88I47w4Z9ea29G2yN3uLA%3D%3D&trackingId=L9Pu4yU%2FXhZL7jnmnHB%2Bfw%3D%3D
Analista de Gestão Estratégica - SP,ATIVA,São Paulo e Região,Há 2 dias,https://br.linkedin.com/jobs/view/analista-de-gest%C3%A3o-estrat%C3%A9gica-sp-at-ativa-ts-4318438004?position=3&pageNum=2&refId=D88I47w4Z9ea29G2yN3uLA%3D%3D&trackingId=hvSdVdqcIIwfWF54dV%2FxYw%3D%3D
Anl Administrativo Jr,Syngenta,"Formosa, GO",Há 1 dia,https://br.linkedin.com/jobs/view/anl-administrativo-jr-at-syngenta-4333060366?position=4&pageNum=2&refId=D88I47w4Z9ea29G2yN3uLA%3D%3D&trackingId=fXHA5%2Fr4VTrpBd5TeKZQ%2BA%3D%3D
Banco de Talentos - Business Analytics,XP Inc.,"São Paulo, SP",Há 6 dias,https://br.linkedin.com/jobs/view/banco-de-talentos-business-analytics-at-xp-inc-4198275911?position=5&pageNum=2&refId=D88I47w4Z9ea29G2yN3uLA%3D%3D&trackingId=voEGoLH6JqhZpqT5dd4Unw%3D%3D
Estagiário em Power Bi - Marketing,CentralAr.com,"Araçatuba, SP",Há 2 dias,https://br.linkedin.com/jobs/view/estagi%C3%A1rio-em-power-bi-marketing-at-centralar-com-4318449691?position=6&pageNum=2&refId=D88I47w4Z9ea29G2yN3uLA%3D%3D&trackingId=gudmTy4HdpEGf%2FhZ3eH4RA%3D%3D
ANALISTA DE ANALYTICS I (OPORTUNIDADE 100% HOME OFFICE),Orizon,Brasil,Há 5 dias,https://br.linkedin.com/jobs/view/analista-de-analytics-i-oportunidade-100%25-home-office-at-orizon-4318631240?position=7&pageNum=2&refId=D88I47w4Z9ea29G2yN3uLA%3D%3D&trackingId=1FHdWUv027DbvxSJJogHBQ%3D%3D
Analista de BI,abler Vagas,"Fortaleza, CE",Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-bi-at-abler-vagas-4333161159?position=8&pageNum=2&refId=D88I47w4Z9ea29G2yN3uLA%3D%3D&trackingId=6RLxVE7p9sAA8ukZ6QQT%2BQ%3D%3D
Analista Júnior de Marketing Operations,Shopee,"São Paulo, SP",Há 11 horas,https://br.linkedin.com/jobs/view/analista-j%C3%BAnior-de-marketing-operations-at-shopee-4301934463?position=9&pageNum=2&refId=D88I47w4Z9ea29G2yN3uLA%3D%3D&trackingId=4RGGBC5Xv5HtlfVWeokGSA%3D%3D
Analista de Dados Pleno - Estratégia Jurídica,Safra,"São Paulo, SP",Há 6 dias,https://br.linkedin.com/jobs/view/analista-de-dados-pleno-estrat%C3%A9gia-jur%C3%ADdica-at-safra-4317232140?position=10&pageNum=2&refId=D88I47w4Z9ea29G2yN3uLA%3D%3D&trackingId=ziEQbyDMVO6S67NIT2tLEQ%3D%3D
